Cell	nCount_RNA	nFeature_RNA	Cluster
SRR2973272	8706029	17839	8
SRR2973274	2976564	16291	7
SRR2973275	3892777	12335	1
SRR2973276	5722343	15504	6
SRR2973277	1699405	20171	4
SRR2973278	4523595	16952	4
SRR2973279	2304719	9691	8
SRR2973280	3411920	9998	8
SRR2973281	2446224	7809	8
SRR2973282	2298098	8506	8
SRR2973283	2906630	8076	8
SRR2973284	2847350	8681	8
SRR2973285	2568489	8705	8
SRR2973286	4425357	7058	8
SRR2973287	4357405	8271	8
SRR2973288	2504929	7832	8
SRR2973289	2597293	8894	8
SRR2973290	3140796	9094	8
SRR2973291	2524621	8178	8
SRR2973292	2763320	7576	8
SRR2973293	2560944	7618	8
SRR2973294	2936235	8498	8
SRR2973295	2285579	7231	8
SRR2973296	2952774	3255	8
SRR2973297	2777823	7958	8
SRR2973298	3291070	8000	8
SRR2973299	2360765	8971	8
SRR2973300	1528852	8002	7
SRR2973302	615639	4813	7
SRR2973303	1628381	7771	7
SRR2973304	3069493	5344	3
SRR2973305	1761750	8943	7
SRR2973307	1856072	8377	7
SRR2973309	1313872	7841	7
SRR2973310	2699745	5032	0
SRR2973311	2827152	7384	7
SRR2973312	2193837	7869	7
SRR2973314	2376438	8265	7
SRR2973316	2072174	7815	7
SRR2973317	1751648	7718	7
SRR2973318	2042227	6000	7
SRR2973319	1550500	7225	7
SRR2973320	2008910	6956	7
SRR2973321	1601673	8172	7
SRR2973322	2188447	9523	7
SRR2973323	1565580	6248	7
SRR2973324	1030230	6464	7
SRR2973326	1664137	8513	7
SRR2973327	2379911	8969	7
SRR2973330	1126694	8997	7
SRR2973332	1738690	7880	7
SRR2973334	1754957	6647	7
SRR2973335	1992102	8264	7
SRR2973336	3675348	5999	5
SRR2973337	1382529	6007	7
SRR2973339	1267724	6672	7
SRR2973340	2289925	7479	7
SRR2973341	2470571	9306	7
SRR2973342	2178569	7637	7
SRR2973343	1570327	7357	7
SRR2973345	1945761	7665	5
SRR2973346	1967561	7288	7
SRR2973349	2388923	8398	7
SRR2973350	1683812	6209	5
SRR2973351	978412	2948	0
SRR2973352	2253722	4852	0
SRR2973353	2048407	7881	1
SRR2973354	2221232	8157	1
SRR2973355	2859192	8723	1
SRR2973356	2156345	5863	1
SRR2973357	2697125	7789	1
SRR2973358	2774468	6390	1
SRR2973359	1976920	7841	1
SRR2973360	2145016	8654	1
SRR2973361	2514824	7028	1
SRR2973362	2105315	5619	6
SRR2973363	2510490	6809	1
SRR2973364	4134473	7673	6
SRR2973365	2856490	7487	1
SRR2973366	2755790	6686	1
SRR2973367	1986908	6645	1
SRR2973368	2230947	6082	1
SRR2973369	2793248	8590	1
SRR2973371	2191836	5963	5
SRR2973372	344267	3338	0
SRR2973373	1624372	2624	5
SRR2973374	1886536	5653	5
SRR2973375	1706682	3106	0
SRR2973377	1862459	3539	5
SRR2973378	1379034	3146	0
SRR2973379	1949668	2974	0
SRR2973381	1433806	3516	0
SRR2973382	1996016	4181	6
SRR2973383	1716359	3529	5
SRR2973384	3045591	10042	6
SRR2973385	2239705	7677	6
SRR2973386	2524483	8293	1
SRR2973387	1653119	2774	0
SRR2973388	2765519	8524	6
SRR2973389	3226042	5782	6
SRR2973390	2269955	8315	6
SRR2973391	1830493	7397	6
SRR2973392	3732080	7650	6
SRR2973393	2005873	9283	6
SRR2973394	3713527	7035	6
SRR2973395	2220674	7721	6
SRR2973396	2597602	8882	1
SRR2973397	2223774	7363	1
SRR2973398	2766777	8409	6
SRR2973399	2371502	3737	0
SRR2973400	3404387	10072	1
SRR2973401	3874359	6760	6
SRR2973402	2048095	6414	6
SRR2973403	2130619	8420	6
SRR2973404	1669824	7087	1
SRR2973405	3198447	8335	6
SRR2973406	3096743	5133	6
SRR2973407	3052541	7202	6
SRR2973408	3390265	7941	6
SRR2973409	1772313	6749	0
SRR2973410	2451725	5931	6
SRR2973411	1944393	3620	0
SRR2973412	2764976	7989	6
SRR2973413	2262794	6864	6
SRR2973414	3507169	5450	5
SRR2973415	1490062	2573	5
SRR2973416	1852499	6391	1
SRR2973417	4759712	5204	1
SRR2973418	2046367	4984	6
SRR2973419	1275847	2311	0
SRR2973420	2809065	7557	6
SRR2973421	2015728	3955	6
SRR2973422	2899362	4481	6
SRR2973423	2472008	3365	6
SRR2973424	1133924	2476	0
SRR2973425	1188012	2409	0
SRR2973426	3521713	5412	6
SRR2973427	1939285	4174	5
SRR2973429	2742166	5881	5
SRR2973430	4630171	5404	6
SRR2973431	3755227	5212	6
SRR2973433	3608921	8053	1
SRR2973434	2239899	3782	5
SRR2973435	1033467	3582	0
SRR2973436	3102453	4085	6
SRR2973437	5224723	6402	4
SRR2973438	1958480	4574	0
SRR2973439	2093967	6210	0
SRR2973440	3003595	7691	4
SRR2973441	2094410	7702	4
SRR2973442	1499413	7373	0
SRR2973443	1506121	7489	4
SRR2973444	1545467	9265	4
SRR2973445	2547399	5348	5
SRR2973446	1577459	8278	4
SRR2973447	1680167	6293	4
SRR2973448	2512373	5451	1
SRR2973449	1163049	6662	4
SRR2973450	1291883	8095	4
SRR2973451	3970585	6083	5
SRR2973452	2551088	9060	4
SRR2973453	2442443	7379	4
SRR2973454	1917061	7548	4
SRR2973455	1882014	8725	4
SRR2973456	3723120	8263	4
SRR2973457	1654950	4345	3
SRR2973458	1940053	8592	4
SRR2973459	2066432	7307	1
SRR2973460	2954922	4310	0
SRR2973461	2598110	5649	3
SRR2973462	2939250	4354	0
SRR2973463	2151590	7028	4
SRR2973464	2314901	6863	4
SRR2973465	2954832	5288	5
SRR2973466	1710051	8030	5
SRR2973467	3176757	4662	0
SRR2973468	2041845	7104	4
SRR2973469	1606122	8734	4
SRR2973470	1993496	7058	4
SRR2973471	2414787	2830	0
SRR2973472	2871891	5170	5
SRR2973473	1085729	3220	5
SRR2973474	1613365	5370	4
SRR2973475	2855781	5228	4
SRR2973476	2806199	5640	4
SRR2973477	2102074	4672	0
SRR2973478	1757903	2854	0
SRR2973479	3848098	4123	0
SRR2973480	2435067	7217	4
SRR2973481	1361709	5271	4
SRR2973482	2972785	4776	0
SRR2973483	2635639	5675	3
SRR2973484	476029	2929	0
SRR2973485	2214294	7629	4
SRR2973486	2316340	6549	6
SRR2973487	2217894	3535	0
SRR2973488	1763805	5459	0
SRR2973489	1463080	6772	4
SRR2973490	2259821	6333	3
SRR2973491	2888616	6955	4
SRR2973492	2314152	6398	4
SRR2973493	2173659	6885	6
SRR2973494	2122258	6147	0
SRR2973495	2563393	6638	0
SRR2973496	4244	960	4
SRR2973497	1951872	5857	6
SRR2973498	1965864	6682	4
SRR2973499	3006439	6442	4
SRR2973500	2401859	5111	0
SRR2973501	2082859	6905	4
SRR2973502	1478513	7324	4
SRR2973503	1662586	6766	4
SRR2973504	1664040	6048	4
SRR2973505	1558862	7159	4
SRR2973506	1690287	6920	4
SRR2973507	2394743	7813	4
SRR2973508	2338609	6387	4
SRR2973509	2269347	5500	0
SRR2973510	1978178	3592	0
SRR2973511	2746996	6596	4
SRR2973512	2665034	6624	4
SRR2973513	1569963	3169	0
SRR2973514	2322585	5712	5
SRR2973515	2202655	8364	4
SRR2973516	2477738	3760	0
SRR2973517	1999726	6456	4
SRR2973518	3252500	5946	0
SRR2973519	2249851	3521	0
SRR2973520	2619969	4824	0
SRR2973521	2592447	4665	0
SRR2973522	2204964	6645	6
SRR2973523	2241185	6139	4
SRR2973524	1525617	6237	4
SRR2973525	1200847	6733	4
SRR2973526	2168849	4770	0
SRR2973527	3174482	6646	4
SRR2973528	2774021	3461	4
SRR2973529	2782884	6295	6
SRR2973530	3165035	6868	4
SRR2973531	2711203	3996	0
SRR2973532	1691978	6913	4
SRR2973533	3063999	6187	5
