Cell	nCount_RNA	nFeature_RNA	Cluster
NM_RHC3934__Bcell__.7DEA7B	353365.852541515	3307	4
NM_RHC3944__Bcell__.7DEA7B	1040964.00082078	4197	0
NM_RHC3962__Tcell__.C6E879	662878.568361271	4326	2
NM_RHC4003__Bcell__.7DEA7B	613189.787052838	3635	0
NM_RHC4005__Bcell__.7DEA7B	772478.608217992	3668	0
NM_RHC4007__Bcell__.7DEA7B	504027.508099953	3875	4
NM_RHC4008__Bcell__.7DEA7B	780866.81371844	4336	0
NM_RHC4220__Bcell__.7DEA7B	2267017.57550911	2906	4
NM_RHC4240__Epithelial__.2749FE	785244.993180578	4573	1
NM_RHC4257__Fibroblast__.FB4E09	710277.235385638	1523	1
NM_RHC4266__Tcell__.C6E879	1561722.83655058	2914	2
NM_RHC4273__Epithelial__.2749FE	462812.002889478	3275	0
NM_RHC4276__Epithelial__.2749FE	973804.494319357	2532	1
NM_RHC4277__Bcell__.7DEA7B	1094484.00285602	2214	0
NM_RHC4285__Epithelial__.2749FE	707271.004095	1395	0
NM_RHC4286__Epithelial__.2749FE	475926.732858126	1617	1
NM_RHC4289__Epithelial__.2749FE	325114.05962932	1273	1
NM_RHC4300__Epithelial__.2749FE	807779.998376427	1725	1
NM_RHC4304__Bcell__.7DEA7B	1707097.95855207	1975	4
NM_RHC4160__Epithelial__.2749FE	977570.01015687	2606	1
NM_RHC4183__Bcell__.7DEA7B	1052632.04989578	1552	4
NM_RHC4026__Epithelial__.2749FE	2057342.41911516	4712	1
NM_RHC4028__Epithelial__.2749FE	2557323.00021912	3106	1
NM_RHC4034__Epithelial__.2749FE	430252.883953937	3176	0
NM_RHC4046__Epithelial__.2749FE	1457574.03239927	4432	1
NM_RHC4048__Epithelial__.2749FE	1686881.5191156	5998	1
NM_RHC4052__MastCell__.E596C5	2168282.01100606	3401	1
NM_RHC4055__Epithelial__.2749FE	1934184.0145715	2318	3
NM_RHC4057__Bcell__.7DEA7B	460160.019446	1205	4
NM_RHC4058__Epithelial__.2749FE	1591232.98858593	3773	1
NM_RHC4059__Fibroblast__.FB4E09	2582904.61381771	3880	5
NM_RHC4061__MastCell__.E596C5	3226929.06937322	2409	1
NM_RHC4062__Tcell__.C6E879	1738165.84986229	2606	2
NM_RHC4066__Epithelial__.2749FE	2026424.21872557	4747	1
