Cell	nCount_RNA	nFeature_RNA	Cluster
SRR7667314	1800812	3094	2
SRR7667872	5178	269	1
SRR7667052	1166784	1851	0
SRR7667111	695314	2523	3
SRR7667437	3359023	3427	5
SRR7666668	1714746	5661	2
SRR7666849	1588829	9681	4
SRR7667160	572745	2424	3
SRR7667554	56785	255	1
SRR7666892	503621	2825	0
SRR7666349	445904	2291	6
SRR7667415	404376	1576	2
SRR7666348	1632501	2063	9
SRR7667391	923236	4020	5
SRR7666973	308	258	1
SRR7666735	3317590	6810	6
SRR7667025	2587048	5234	0
SRR7666715	1362558	3657	5
SRR7667363	2519204	3976	5
SRR7667187	752893	3431	11
SRR7667121	754041	2278	3
SRR7667513	1915312	5900	6
SRR7666827	738280	3859	8
SRR7666662	1203328	6515	2
SRR7667424	1946149	4708	4
SRR7666765	3890113	8321	2
SRR7667047	2762144	5230	0
SRR7666788	1296313	5398	6
SRR7666671	722783	2502	2
SRR7666800	216984	1932	3
SRR7666743	2647692	9881	2
SRR7667171	2085062	3893	2
SRR7667407	1014548	4943	10
SRR7667755	260	209	1
SRR7667514	1576739	4767	5
SRR7667256	810338	2901	11
SRR7667173	1020940	2139	2
SRR7667141	828665	2021	3
SRR7666963	1386033	1597	0
SRR7666734	1925262	5375	11
SRR7667155	690699	2224	8
SRR7666423	3832	348	1
SRR7666744	2929171	11672	2
SRR7666526	1798736	4585	4
SRR7667228	573306	2747	7
SRR7667170	1661591	2506	2
SRR7666399	1231	214	1
SRR7667338	725928	3063	10
SRR7667383	231945	836	1
SRR7666737	2409926	7288	2
SRR7667031	2171251	3223	0
SRR7666597	421402	4870	2
SRR7666831	726748	3141	3
SRR7667159	131911	2693	8
SRR7667326	55466	426	1
SRR7666706	2462736	5698	6
SRR7666742	2971173	9813	2
SRR7666711	1759609	6145	5
SRR7667430	1502245	2217	3
SRR7666513	131027	1406	1
SRR7667404	839192	12723	2
SRR7666689	1785462	8344	0
SRR7667062	436	368	1
SRR7667496	1390690	4861	5
SRR7667525	414772	1893	6
SRR7667065	153402	507	0
SRR7666880	335793	2337	0
SRR7666579	714365	5165	2
SRR7667271	295646	728	1
SRR7667507	1069663	2044	5
SRR7666721	3636859	9020	2
SRR7667027	2130337	3279	0
SRR7667488	1532298	5458	6
SRR7666525	113870	1147	7
SRR7667108	729611	1886	3
SRR7667392	1158829	4180	2
SRR7666422	4428	1016	0
SRR7667041	2733724	4728	0
SRR7666889	472585	3785	0
SRR7667158	565540	2016	3
SRR7667244	418377	6170	4
SRR7667283	173046	924	1
SRR7666459	1612667	5740	4
SRR7666404	14807	271	1
SRR7666820	1302043	3731	8
SRR7666646	560815	3323	2
SRR7666550	749728	2699	2
SRR7666455	2839	366	1
SRR7666865	596808	6070	0
SRR7667149	836321	2143	3
SRR7667084	784521	1579	3
SRR7667021	717038	1292	0
SRR7666970	1119581	1346	0
SRR7666824	388033	2612	3
SRR7667699	1802524	3512	0
SRR7667115	1094356	4472	6
SRR7666593	524412	3860	10
SRR7667100	639059	2189	3
SRR7667565	35704	299	1
SRR7666609	711970	2448	5
SRR7666370	2466398	3696	6
SRR7666493	367957	4935	2
SRR7666883	289903	2477	0
SRR7666937	572910	752	0
SRR7666464	1336888	3421	4
SRR7667092	899463	3007	3
SRR7666796	700164	3184	3
SRR7667071	1209679	1835	0
SRR7667351	234280	906	1
SRR7667419	1613100	7220	0
SRR7666533	950227	2334	5
SRR7667274	284252	972	1
SRR7667203	733767	7700	4
SRR7667116	629164	2308	3
SRR7667440	23534	1327	1
SRR7667167	1752910	2682	2
SRR7667659	541077	2688	0
SRR7667267	1018609	2459	5
SRR7667039	331276	781	0
SRR7667362	47579	535	1
SRR7666726	2242701	4847	6
SRR7667059	130783	453	0
SRR7667471	335292	5699	10
SRR7666839	1667437	8853	4
SRR7666885	515776	4827	0
SRR7666636	1365967	4419	5
SRR7666599	665035	3972	4
SRR7666625	871396	4275	4
SRR7667375	2060970	3712	5
SRR7667644	250956	260	1
SRR7666366	957150	1017	6
SRR7666465	596336	1371	5
SRR7667125	903351	2877	3
SRR7666771	3030014	8642	2
SRR7666945	6127146	4391	0
SRR7666906	497703	4606	0
SRR7666388	2307323	2790	6
