Cell	nCount_RNA	nFeature_RNA	Cluster
SRR5964835	15295	1498	0
SRR5968149	19186	1393	7
SRR5959930	273470	4875	4
SRR5958850	12124	2382	5
SRR5960530	1850862	6940	3
SRR5957382	669210	5911	9
SRR5961249	269353	6601	11
SRR5959193	3783	426	0
SRR5960447	42450	1958	7
SRR5967583	1187774	3661	1
SRR5964861	1498	433	0
SRR5959085	910	232	0
SRR5960416	437073	5594	3
SRR5967564	587313	3883	1
SRR5960907	1005807	5186	11
SRR5959151	6556	596	0
SRR5959305	76771	1142	0
SRR5964900	1785	490	0
SRR5965003	4749	749	0
SRR5960554	436896	6138	3
SRR5958822	49104	3392	5
SRR5967626	694308	4321	1
SRR5959783	508365	4955	4
SRR5959946	348840	4571	10
SRR5957362	93417	2842	9
SRR5967902	479786	4173	1
SRR5958692	42361	3165	5
SRR5960731	311809	5446	3
SRR5959296	6085	527	0
SRR5959170	55631	1145	0
SRR5958879	30128	2799	5
SRR5958874	12691	2348	5
SRR5959137	15799	706	0
SRR5958973	633052	5225	5
SRR5961067	337218	4960	8
SRR5960467	62476	3032	3
SRR5958659	132588	4755	5
SRR5958700	188045	4123	5
SRR5960610	665111	5947	3
SRR5959905	820644	7149	10
SRR5960523	802431	6012	3
SRR5958877	73907	3408	5
SRR5958983	391056	4290	5
SRR5959788	187232	5042	4
SRR5960113	83728	3411	4
SRR5967788	439191	3111	1
SRR5967749	740732	3149	1
SRR5957440	46908	2649	9
SRR5967638	3037062	6884	1
SRR5961235	664037	7140	11
SRR5960605	926087	5906	3
SRR5960620	438242	3717	3
SRR5959239	1456	292	0
SRR5960062	776621	6334	10
SRR5957360	51041	3165	9
SRR5961080	205310	6931	11
SRR5957443	57451	2613	9
SRR5960923	85663	3977	8
SRR5958981	190064	5038	5
SRR5958806	12254	2504	5
SRR5958914	128266	3919	5
SRR5959821	95326	5369	4
SRR5960538	54841	2526	3
SRR5967722	512789	2633	1
SRR5961405	842353	5135	1
SRR5957366	53189	4576	9
SRR5960600	316347	4230	3
SRR5964875	3154	571	0
SRR5960689	217454	5502	3
SRR5961279	563866	6116	8
SRR5959974	55465	5232	4
SRR5965005	9699	1096	0
SRR5959976	73260	3525	4
SRR5959939	426334	5709	10
SRR5960482	538863	6663	3
SRR5967672	437985	4023	1
SRR5959915	192345	3808	4
SRR5959200	6339	573	0
SRR5960627	2446000	6073	3
SRR5964935	3833	696	0
SRR5960067	1601765	8099	10
SRR5958838	43286	3027	5
SRR5968202	242624	3392	7
SRR5959730	54634	4108	4
SRR5968135	137892	2964	7
SRR5968138	83569	2578	7
SRR5960596	3584153	7020	3
SRR5959924	626970	5580	10
SRR5959143	1212	264	0
SRR5960568	228174	5359	3
SRR5961265	239504	4856	8
SRR5964738	86137	1383	0
SRR5959861	323177	5552	10
SRR5958867	100707	4033	5
SRR5958827	229555	4974	5
SRR5959256	6262	564	0
SRR5960609	476917	5551	3
SRR5960744	72398	3814	3
SRR5959132	21327	710	0
SRR5959190	7554	541	0
SRR5959386	4295	445	0
SRR5965026	1562	460	0
SRR5964864	4437	784	0
SRR5960870	371469	5492	8
SRR5964808	1290	341	0
SRR5960475	104137	4196	3
SRR5959306	8850	550	0
SRR5961354	715998	4485	1
SRR5961015	618028	5359	8
SRR5968109	572914	4456	7
SRR5957345	543185	5603	9
SRR5959288	6952	693	0
SRR5959754	637943	6974	10
SRR5960366	171193	4483	3
SRR5964651	11623	1057	0
SRR5960753	233016	3427	3
SRR5959320	8241	575	0
SRR5958701	181626	4149	5
SRR5959990	280582	3185	4
SRR5968206	301466	5136	7
SRR5961095	659209	5620	8
SRR5960738	412938	6044	3
SRR5958966	1628737	3279	5
SRR5964870	1154	364	0
SRR5967529	555976	4227	1
SRR5964764	6586	981	0
SRR5961102	365432	7544	11
SRR5964758	1363	424	0
SRR5960084	311049	4502	4
SRR5959994	1889409	8878	10
SRR5960386	29068	2582	3
SRR5958784	1100876	4991	5
SRR5959033	48376	3263	5
SRR5960198	763140	5910	10
SRR5961462	355857	2559	1
SRR5957575	156289	5642	9
SRR5960392	302297	5306	3
SRR5960919	159862	4483	8
SRR5967489	671839	4022	1
